Temperature [°C],Mole fraction of liquid,Mole percent of Ag in FCC_A1,Mole percent of Ag in HCP_A3,Molar volume of LIQUID,Mole percent of Ag in LIQUID,Temperature [K],Temp (cels),Solid comp. (at% Ag),Mole frac. Liquid,Liquid comp. (at% Ag),k,V_m liq.,V frac liq,V_m FCC,V frac sol,VmL-VmS,delta V norm by VL
623.699,0.753461345,4.602397626,,1.12157E-05,11.87830755,896.849,623.699,4.626033073,0.746411413,11.94686206,0.387217417,1.1215E-05,0.747849149,1.05224E-05,0.251339694,6.92593E-07,0.061756057
623.599,0.749922899,4.614213788,,1.12154E-05,11.91258255,896.749,623.599,4.637855545,0.742926601,11.98114609,0.387096152,1.12146E-05,0.74438229,1.05223E-05,0.254796625,6.92346E-07,0.061736101
623.499,0.746411413,4.626033073,,1.1215E-05,11.94686206,896.649,623.499,4.649681266,0.739468183,12.0154346,0.386975704,1.12142E-05,0.740941637,1.05221E-05,0.258227477,6.921E-07,0.061716159
623.399,0.742926601,4.637855545,,1.12146E-05,11.98114609,896.549,623.399,4.661510299,0.736035885,12.04972758,0.386856073,1.12139E-05,0.737526915,1.0522E-05,0.261632522,6.91853E-07,0.061696228
623.299,0.739468183,4.649681266,,1.12142E-05,12.0154346,896.449,623.299,4.673342705,0.732629431,12.08402502,0.386737258,1.12135E-05,0.734137855,1.05219E-05,0.265012031,6.91607E-07,0.061676311
623.199,0.736035885,4.661510299,,1.12139E-05,12.04972758,896.349,623.199,4.685178549,0.729248554,12.1183269,0.386619258,1.12131E-05,0.730774189,1.05218E-05,0.268366269,6.91361E-07,0.061656406
623.099,0.732629431,4.673342705,,1.12135E-05,12.08402502,896.249,623.099,4.697017892,0.725892986,12.15263319,0.386502071,1.12128E-05,0.727435653,1.05216E-05,0.271695499,6.91115E-07,0.061636515
622.999,0.729248554,4.685178549,,1.12131E-05,12.1183269,896.149,622.999,4.708860797,0.722562467,12.1869439,0.386385696,1.12124E-05,0.724121986,1.05215E-05,0.27499998,6.90869E-07,0.061616636
622.899,0.725892986,4.697017892,,1.12128E-05,12.15263319,896.049,622.899,4.720707329,0.719256737,12.22125899,0.386270132,1.1212E-05,0.720832933,1.05214E-05,0.278279968,6.90624E-07,0.06159677
622.799,0.722562467,4.708860797,,1.12124E-05,12.1869439,895.949,622.799,4.73255755,0.715975541,12.25557846,0.386155379,1.12116E-05,0.71756824,1.05213E-05,0.281535714,6.90378E-07,0.061576917
622.699,0.719256737,4.720707329,,1.1212E-05,12.22125899,895.849,622.699,4.744411524,0.712718625,12.28990229,0.386041436,1.12113E-05,0.714327656,1.05211E-05,0.284767469,6.90133E-07,0.061557077
622.599,0.715975541,4.73255755,,1.12116E-05,12.25557846,895.749,622.599,4.756269314,0.709485743,12.32423047,0.3859283,1.12109E-05,0.711110934,1.0521E-05,0.287975478,6.89888E-07,0.06153725
622.499,0.712718625,4.744411524,,1.12113E-05,12.28990229,895.649,622.499,4.768130984,0.706276647,12.35856298,0.385815972,1.12105E-05,0.707917831,1.05209E-05,0.291159984,6.89643E-07,0.061517436
622.399,0.709485743,4.756269314,,1.12109E-05,12.32423047,895.549,622.399,4.779996599,0.703091095,12.3928998,0.38570445,1.12102E-05,0.704748105,1.05208E-05,0.294321227,6.89399E-07,0.061497634
622.299,0.706276647,4.768130984,,1.12105E-05,12.35856298,895.449,622.299,4.791866221,0.699928847,12.42724093,0.385593733,1.12098E-05,0.70160152,1.05206E-05,0.297459442,6.89154E-07,0.061477846
622.199,0.703091095,4.779996599,,1.12102E-05,12.3928998,895.349,622.199,4.803739915,0.696789668,12.46158636,0.38548382,1.12094E-05,0.698477841,1.05205E-05,0.300574865,6.8891E-07,0.061458071
622.099,0.699928847,4.791866221,,1.12098E-05,12.42724093,895.249,622.099,4.815617746,0.693673324,12.49593606,0.385374711,1.12091E-05,0.695376836,1.05204E-05,0.303667724,6.88666E-07,0.061438309
